"Part Suitability","Product (WPN)","Datasheet","OPN","Price","Description","V(BR)CES Typ (V)","IC Max (A)","VCE(sat) Typ (V)","PD Max (W)","Co-Packaged Diode","Short Circuit Withstand (µs)","Package Type","VF Typ (V)","Eon Typ (mJ)","Eoff Typ (mJ)","Trr Typ (ns)","Irr Typ (A)","QG Typ (nC)","EAS Typ (mJ)","Qualification","AEC Qualified","PPAP Capable","Halide Free","Lead Free","Status"
"71","FGY100T120RWD","https://www.onsemi.com/download/data-sheet/pdf/FGY100T120RWD-D.PDF","FGY100T120RWD","8.67","1200V,  100A Trench Field Stop VII (FS7) Discrete IGBT in Power TO247-3L Packaging","1200","100","1.45","1500","true","5","TO-247-3","1.78","8.13","7.05","347","","414","","Standard","false","false","true","true","Active"
"71","FGY75T120SWD","https://www.onsemi.com/download/data-sheet/pdf/FGY75T120SWD-D.PDF","FGY75T120SWD","6.20","1200V, 75A Field Stop VII Discrete IGBT in Power TO247-3L Packaging","1200","75","1.7","517","true","","TO-247-3","1.92","5","2.32","307","","214","","Standard","false","false","true","true","Active"
"68","NGTB25N120FL3","https://www.onsemi.com/download/data-sheet/pdf/NGTB25N120FL3W-D.PDF","NGTB25N120FL3WG","2.64","IGBT, Ultra Field Stop - 1200V 25A","1200","25","1.7","349","true","","TO-247","3","1","0.7","90","12","136","","Standard","false","false","true","true","Active"
"67","HGT1S10N120BNS","https://www.onsemi.com/download/data-sheet/pdf/HGTP10N120BN-D.pdf","HGT1S10N120BNST","2.06","IGBT, 1200V, NPT","1200","17","2.45","298","false","8","D2PAK-3 / TO-263-2","","0.32","0.8","","","100","80","Standard","false","false","false","true","Active"
"67","NGTB25N120FL2","https://www.onsemi.com/download/data-sheet/pdf/NGTB25N120FL2W-D.PDF","NGTB25N120FL2WG","5.08","IGBT, 1200V 25A FS2 SOLAR/UPS","1200","25","2","385","true","10","TO-247","2.1","1.95","0.6","154","15","178","","Standard","false","false","true","true","Active"
"66","NGTB40N120FL2","https://www.onsemi.com/download/data-sheet/pdf/NGTB40N120FL2W-D.PDF","NGTB40N120FL2WG","4.15","IGBT, 1200V 40A FS2 Solar/UPS","1200","40","2","535","true","10","TO-247","2","3.4","1.1","240","18","313","","Standard","false","false","true","true","Active"
"66","FGH40T120SQDNL4","https://www.onsemi.com/download/data-sheet/pdf/FGH40T120SQDNL4-D.PDF","FGH40T120SQDNL4","4.47","IGBT, Ultra Field Stop","1200","40","1.78","227","true","0","TO-247-4","3.4","2.7","1.1","166","9","221","","Standard","false","false","true","true","Active"
"65","FGY75T120SQDN","https://www.onsemi.com/download/data-sheet/pdf/FGY75T120SQDN-D.PDF","FGY75T120SQDN","7.24","IGBT, Ultra Field Stop -1200V 75A","1200","75","1.7","395","true","","TO-247-3","3.4","6.25","1.96","99","20","399","","Standard","false","false","true","true","Active"
"64","FGH40T120SMD","https://www.onsemi.com/download/data-sheet/pdf/FGH40T120SMD-D.PDF","FGH40T120SMD","4.37","IGBT, 1200V, 40A Field Stop Trench","1200","40","1.8","555","true","","TO-247-3","3.8","2.7","1.1","200","18","370","","Standard","false","false","true","true","Active"
"62","FGH40T120SMD","https://www.onsemi.com/download/data-sheet/pdf/FGH40T120SMD-D.PDF","FGH40T120SMD-F155","7.75","IGBT, 1200V, 40A Field Stop Trench","1200","40","1.8","555","true","","TO-247-3","3.8","2.7","1.1","200","18","370","","Standard","false","false","true","true","Active"
"62","FGY40T120SMD","https://www.onsemi.com/download/data-sheet/pdf/FGY40T120SMD-D.pdf","FGY40T120SMD","6.21","IGBT, 1200 V, 40 A Field Stop Trench","1200","40","1.8","882","true","","TO-247-3","3.8","2.7","1.1","200","","370","","Standard","false","false","true","true","Active"
"61","NGTB40N120FL3","https://www.onsemi.com/download/data-sheet/pdf/NGTB40N120FL3W-D.PDF","NGTB40N120FL3WG","'-","IGBT, Ultra Field Stop -1200V 40A","1200","40","1.7","454","true","","TO-247","3","1.6","1.1","86","12","212","","Standard","false","false","true","true","Active"
"59","FGY60T120SQDN","https://www.onsemi.com/download/data-sheet/pdf/FGY60T120SQDN-D.PDF","FGY60T120SQDN","6.23","IGBT, Ultra Field Stop -1200V 60A","1200","60","1.7","","","","TO-247-3","","","","","","","","Standard","false","false","true","true","Active"
